mID,nsites,formula,pointGroup,spaceGroup,volume,a,b,c,alpha,beta,gamma,eij
mp-22925,2,AgI,-43m,216,73.21958332409856,4.69584858,4.69584857,4.69584857,59.99999994,59.99999998,59.99999995,0.091464
mp-406,2,CdTe,-43m,216,72.82720794844357,4.68744537,4.68744537,4.68744537,60.00000006,60.00000006,60.00000008,0.004848
mp-1639,2,BN,-43m,216,11.917209407887151,2.56387308,2.56387309,2.56387308,60.00000008,60.00000001,60.00000000,0.517745
mp-10695,2,ZnS,-43m,216,40.475675140540325,3.85392300,3.85392300,3.85392300,59.99999998,59.99999998,59.99999999,0.030692
mp-2176,2,ZnTe,-43m,216,59.14561543024554,4.37333270,4.37333270,4.37333270,60.00000003,60.00000002,59.99999998,0.068884
mp-1986,2,ZnO,-43m,216,24.81843311643088,3.27413428,3.27413374,3.27413388,59.99999861,60.00000406,60.00000360,0.378684
mp-1190,2,ZnSe,-43m,216,47.337645428691815,4.06044734,4.06044735,4.06044735,60.00000006,60.00000002,60.00000010,0.032961
mp-1778,2,BeO,-43m,216,13.980548086949062,2.70403971,2.70403971,2.70403971,60.00000012,60.00000007,60.00000003,0.06908
mp-830,2,GaN,-43m,216,23.48047625009842,3.21420792,3.21420791,3.21420792,59.99999993,59.99999998,59.99999999,0.074259
mp-22895,2,CuI,-43m,216,54.93133765997505,4.22605871,4.30895585,4.30895549,60.00000283,59.34897101,59.34897413,0.078345
mp-1479,2,BP,-43m,216,23.499693654973573,3.21508456,3.21508456,3.21508456,60.00000000,59.99999996,59.99999995,0.012228
mp-24864,2,CoO,-43m,216,24.81667047999726,3.27405651,3.27405650,3.27405651,60.00000001,60.00000007,60.00000005,0.19127
mp-13032,2,MgS,-43m,216,46.25273572369471,4.02918746,4.02918746,4.02918747,60.00000003,60.00000002,60.00000007,0.193647
mp-13031,2,MgSe,-43m,216,54.013826564376785,4.24300276,4.24300276,4.24300276,60.00000002,60.00000001,60.00000006,0.141287
mp-2469,2,CdS,-43m,216,52.418232898629206,4.20080438,4.20080438,4.20080438,59.99999998,60.00000000,59.99999998,0.114685
mp-13033,2,MgTe,-43m,216,69.05665589678975,4.60511183,4.60511183,4.60511182,60.00000004,60.00000004,59.99999998,0.089395
mp-2624,2,AlSb,-43m,216,60.56062422119245,4.40793431,4.40793430,4.40793431,60.00000004,60.00000005,60.00000002,0.056721
mp-22914,2,CuCl,-43m,216,39.46738265036693,3.82165174,3.82165174,3.82165174,60.00000000,59.99999999,60.00000001,0.30995
mp-8062,2,SiC,-43m,216,21.00059564146384,3.09681696,3.09681696,3.09681696,60.00000000,60.00000002,60.00000005,0.083797
mp-22913,2,CuBr,-43m,216,46.27425878205889,4.02981234,4.02981234,4.02981235,60.00000002,60.00000001,60.00000002,0.179525
mp-1700,2,AlN,-43m,216,21.316978277503637,3.11229112,3.11229112,3.11229112,60.00000002,59.99999996,59.99999997,0.285852
mp-2691,2,CdSe,-43m,216,59.9527961018206,4.39313768,4.39313768,4.39313767,59.99999997,59.99999998,59.99999997,0.042499
mp-2490,2,GaP,-43m,216,41.73685895299886,3.89354250,3.89354250,3.89354250,60.00000002,60.00000003,59.99999996,0.117793
mp-2172,2,AlAs,-43m,216,47.12566057794863,4.05437719,4.05437719,4.05437719,59.99999991,59.99999992,59.99999994,0.044071
mp-10044,2,BAs,-43m,216,27.982032094119386,3.40772664,3.40772664,3.40772664,60.00000001,60.00000001,59.99999995,0.027774
mp-422,2,BeS,-43m,216,28.95580465698078,3.44680630,3.44680630,3.44680631,60.00000000,60.00000002,60.00000005,0.110072
mp-20351,2,InP,-43m,216,52.83998339624193,4.21204068,4.21204068,4.21204068,59.99999997,60.00000000,59.99999998,0.057048
mp-1550,2,AlP,-43m,216,41.75533088564775,3.89411682,3.89411682,3.89411682,60.00000001,59.99999999,59.99999997,0.000358
mp-252,2,BeTe,-43m,216,45.505511938658934,4.00737208,4.00737208,4.00737207,59.99999998,59.99999997,60.00000003,0.097226
mp-1541,2,BeSe,-43m,216,34.823676411618,3.66547171,3.66547171,3.66547171,59.99999994,59.99999995,59.99999996,0.120108
mp-866291,2,AgBr,-43m,216,63.400434450458114,4.47578357,4.47578357,4.47578357,60.00000000,60.00000000,60.00000000,0.14651
mp-3161,3,LiAlSi,-43m,216,52.35525619085283,4.19912138,4.19912138,4.19912139,60.00000000,60.00000001,60.00000000,0.283006
