mID,formula,vm1,vm2,vm3,sites,pointGroup,spaceGroup,volume,a,b,c,alpha,beta,gamma,eij,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
mp-22925,AgI,1.0,1.0,1.0,2,-43m,216,73.21958332409856,4.69584858,4.69584857,4.69584857,59.99999994,59.99999998,59.99999995,0.091464,0.0,0.0,0.0,-0.15842,0.0,0.0,0.0,0.0,0.0,0.0,-0.15842,0.0,0.0,0.0,0.0,0.0,0.0,-0.15842
mp-406,CdTe,1.0,1.0,1.0,2,-43m,216,72.82720794844357,4.68744537,4.68744537,4.68744537,60.00000006,60.00000006,60.00000008,0.004848,0.0,0.0,0.0,0.00839667,0.0,0.0,0.0,0.0,0.0,0.0,0.00839667,0.0,0.0,0.0,0.0,0.0,0.0,0.00839667
mp-1639,BN,1.0,1.0,1.0,2,-43m,216,11.917209407887151,2.56387308,2.56387309,2.56387308,60.00000008,60.00000001,60.00000000,0.517745,0.0,0.0,0.0,0.89676,0.0,0.0,0.0,0.0,0.0,0.0,0.89676,0.0,0.0,0.0,0.0,0.0,0.0,0.89676
mp-10695,ZnS,1.0,1.0,1.0,2,-43m,216,40.475675140540325,3.85392300,3.85392300,3.85392300,59.99999998,59.99999998,59.99999999,0.030692,0.0,0.0,0.0,0.05316,0.0,0.0,0.0,0.0,0.0,0.0,0.05316,0.0,0.0,0.0,0.0,0.0,0.0,0.05316
mp-2176,ZnTe,1.0,1.0,1.0,2,-43m,216,59.14561543024554,4.37333270,4.37333270,4.37333270,60.00000003,60.00000002,59.99999998,0.068884,0.0,0.0,0.0,0.11931,0.0,0.0,0.0,0.0,0.0,0.0,0.11931,0.0,0.0,0.0,0.0,0.0,0.0,0.11931
mp-1986,ZnO,1.0,1.0,1.0,2,-43m,216,24.81843311643088,3.27413428,3.27413374,3.27413388,59.99999861,60.00000406,60.00000360,0.378684,0.0,0.0,0.0,-0.6559,0.0,0.0,0.0,0.0,0.0,0.0,-0.6559,0.0,0.0,0.0,0.0,0.0,0.0,-0.6559
mp-1190,ZnSe,1.0,1.0,1.0,2,-43m,216,47.337645428691815,4.06044734,4.06044735,4.06044735,60.00000006,60.00000002,60.00000010,0.032961,0.0,0.0,0.0,-0.05709,0.0,0.0,0.0,0.0,0.0,0.0,-0.05709,0.0,0.0,0.0,0.0,0.0,0.0,-0.05709
mp-1778,BeO,1.0,1.0,1.0,2,-43m,216,13.980548086949062,2.70403971,2.70403971,2.70403971,60.00000012,60.00000007,60.00000003,0.06908,0.0,0.0,0.0,0.11965,0.0,0.0,0.0,0.0,0.0,0.0,0.11965,0.0,0.0,0.0,0.0,0.0,0.0,0.11965
mp-830,GaN,1.0,1.0,1.0,2,-43m,216,23.48047625009842,3.21420792,3.21420791,3.21420792,59.99999993,59.99999998,59.99999999,0.074259,0.0,0.0,0.0,0.12862,0.0,0.0,0.0,0.0,0.0,0.0,0.12862,0.0,0.0,0.0,0.0,0.0,0.0,0.12862
mp-22895,CuI,1.0,1.0,1.0,2,-43m,216,54.93133765997505,4.22605871,4.30895585,4.30895549,60.00000283,59.34897101,59.34897413,0.078345,0.0,0.0,0.0,-0.13569667,0.0,0.0,0.0,0.0,0.0,0.0,-0.13569667,0.0,0.0,0.0,0.0,0.0,0.0,-0.13569667
mp-1479,BP,1.0,1.0,1.0,2,-43m,216,23.499693654973573,3.21508456,3.21508456,3.21508456,60.00000000,59.99999996,59.99999995,0.012228,0.0,0.0,0.0,-0.02118,0.0,0.0,0.0,0.0,0.0,0.0,-0.02118,0.0,0.0,0.0,0.0,0.0,0.0,-0.02118
mp-24864,CoO,1.0,1.0,1.0,2,-43m,216,24.81667047999726,3.27405651,3.27405650,3.27405651,60.00000001,60.00000007,60.00000005,0.19127,0.0,0.0,0.0,0.33129,0.0,0.0,0.0,0.0,0.0,0.0,0.33129,0.0,0.0,0.0,0.0,0.0,0.0,0.33129
mp-13032,MgS,1.0,1.0,1.0,2,-43m,216,46.25273572369471,4.02918746,4.02918746,4.02918747,60.00000003,60.00000002,60.00000007,0.193647,0.0,0.0,0.0,0.33540667,0.0,0.0,0.0,0.0,0.0,0.0,0.33540667,0.0,0.0,0.0,0.0,0.0,0.0,0.33540667
mp-13031,MgSe,1.0,1.0,1.0,2,-43m,216,54.013826564376785,4.24300276,4.24300276,4.24300276,60.00000002,60.00000001,60.00000006,0.141287,0.0,0.0,0.0,-0.24471667,0.0,0.0,0.0,0.0,0.0,0.0,-0.24471667,0.0,0.0,0.0,0.0,0.0,0.0,-0.24471667
mp-2469,CdS,1.0,1.0,1.0,2,-43m,216,52.418232898629206,4.20080438,4.20080438,4.20080438,59.99999998,60.00000000,59.99999998,0.114685,0.0,0.0,0.0,-0.19864,0.0,0.0,0.0,0.0,0.0,0.0,-0.19864,0.0,0.0,0.0,0.0,0.0,0.0,-0.19864
mp-13033,MgTe,1.0,1.0,1.0,2,-43m,216,69.05665589678975,4.60511183,4.60511183,4.60511182,60.00000004,60.00000004,59.99999998,0.089395,0.0,0.0,0.0,-0.15483667,0.0,0.0,0.0,0.0,0.0,0.0,-0.15483667,0.0,0.0,0.0,0.0,0.0,0.0,-0.15483667
mp-2624,AlSb,1.0,1.0,1.0,2,-43m,216,60.56062422119245,4.40793431,4.40793430,4.40793431,60.00000004,60.00000005,60.00000002,0.056721,0.0,0.0,0.0,-0.09824333,0.0,0.0,0.0,0.0,0.0,0.0,-0.09824333,0.0,0.0,0.0,0.0,0.0,0.0,-0.09824333
mp-22914,CuCl,1.0,1.0,1.0,2,-43m,216,39.46738265036693,3.82165174,3.82165174,3.82165174,60.00000000,59.99999999,60.00000001,0.30995,0.0,0.0,0.0,-0.53685,0.0,0.0,0.0,0.0,0.0,0.0,-0.53685,0.0,0.0,0.0,0.0,0.0,0.0,-0.53685
mp-8062,SiC,1.0,1.0,1.0,2,-43m,216,21.00059564146384,3.09681696,3.09681696,3.09681696,60.00000000,60.00000002,60.00000005,0.083797,0.0,0.0,0.0,0.14514,0.0,0.0,0.0,0.0,0.0,0.0,0.14514,0.0,0.0,0.0,0.0,0.0,0.0,0.14514
mp-22913,CuBr,1.0,1.0,1.0,2,-43m,216,46.27425878205889,4.02981234,4.02981234,4.02981235,60.00000002,60.00000001,60.00000002,0.179525,0.0,0.0,0.0,-0.31094667,0.0,0.0,0.0,0.0,0.0,0.0,-0.31094667,0.0,0.0,0.0,0.0,0.0,0.0,-0.31094667
mp-1700,AlN,1.0,1.0,1.0,2,-43m,216,21.316978277503637,3.11229112,3.11229112,3.11229112,60.00000002,59.99999996,59.99999997,0.285852,0.0,0.0,0.0,0.49511,0.0,0.0,0.0,0.0,0.0,0.0,0.49511,0.0,0.0,0.0,0.0,0.0,0.0,0.49511
mp-2691,CdSe,1.0,1.0,1.0,2,-43m,216,59.9527961018206,4.39313768,4.39313768,4.39313767,59.99999997,59.99999998,59.99999997,0.042499,0.0,0.0,0.0,-0.07361,0.0,0.0,0.0,0.0,0.0,0.0,-0.07361,0.0,0.0,0.0,0.0,0.0,0.0,-0.07361
mp-2490,GaP,1.0,1.0,1.0,2,-43m,216,41.73685895299886,3.89354250,3.89354250,3.89354250,60.00000002,60.00000003,59.99999996,0.117793,0.0,0.0,0.0,0.20402333,0.0,0.0,0.0,0.0,0.0,0.0,0.20402333,0.0,0.0,0.0,0.0,0.0,0.0,0.20402333
mp-2172,AlAs,1.0,1.0,1.0,2,-43m,216,47.12566057794863,4.05437719,4.05437719,4.05437719,59.99999991,59.99999992,59.99999994,0.044071,0.0,0.0,0.0,-0.07633333,0.0,0.0,0.0,0.0,0.0,0.0,-0.07633333,0.0,0.0,0.0,0.0,0.0,0.0,-0.07633333
mp-10044,BAs,1.0,1.0,1.0,2,-43m,216,27.982032094119386,3.40772664,3.40772664,3.40772664,60.00000001,60.00000001,59.99999995,0.027774,0.0,0.0,0.0,-0.04810667,0.0,0.0,0.0,0.0,0.0,0.0,-0.04810667,0.0,0.0,0.0,0.0,0.0,0.0,-0.04810667
mp-422,BeS,1.0,1.0,1.0,2,-43m,216,28.95580465698078,3.44680630,3.44680630,3.44680631,60.00000000,60.00000002,60.00000005,0.110072,0.0,0.0,0.0,-0.19065,0.0,0.0,0.0,0.0,0.0,0.0,-0.19065,0.0,0.0,0.0,0.0,0.0,0.0,-0.19065
mp-20351,InP,1.0,1.0,1.0,2,-43m,216,52.83998339624193,4.21204068,4.21204068,4.21204068,59.99999997,60.00000000,59.99999998,0.057048,0.0,0.0,0.0,-0.09881,0.0,0.0,0.0,0.0,0.0,0.0,-0.09881,0.0,0.0,0.0,0.0,0.0,0.0,-0.09881
mp-1550,AlP,1.0,1.0,1.0,2,-43m,216,41.75533088564775,3.89411682,3.89411682,3.89411682,60.00000001,59.99999999,59.99999997,0.000358,0.0,0.0,0.0,-0.00062,0.0,0.0,0.0,0.0,0.0,0.0,-0.00062,0.0,0.0,0.0,0.0,0.0,0.0,-0.00062
mp-252,BeTe,1.0,1.0,1.0,2,-43m,216,45.505511938658934,4.00737208,4.00737208,4.00737207,59.99999998,59.99999997,60.00000003,0.097226,0.0,0.0,0.0,-0.1684,0.0,0.0,0.0,0.0,0.0,0.0,-0.1684,0.0,0.0,0.0,0.0,0.0,0.0,-0.1684
mp-1541,BeSe,1.0,1.0,1.0,2,-43m,216,34.823676411618,3.66547171,3.66547171,3.66547171,59.99999994,59.99999995,59.99999996,0.120108,0.0,0.0,0.0,0.20803333,0.0,0.0,0.0,0.0,0.0,0.0,0.20803333,0.0,0.0,0.0,0.0,0.0,0.0,0.20803333
mp-866291,AgBr,1.0,1.0,1.0,2,-43m,216,63.400434450458114,4.47578357,4.47578357,4.47578357,60.00000000,60.00000000,60.00000000,0.14651,0.0,0.0,0.0,-0.25376333,0.0,0.0,0.0,0.0,0.0,0.0,-0.25376333,0.0,0.0,0.0,0.0,0.0,0.0,-0.25376333
mp-3161,LiAlSi,1.0,1.0,1.0,3,-43m,216,52.35525619085283,4.19912138,4.19912138,4.19912139,60.00000000,60.00000001,60.00000000,0.283006,0.0,0.0,0.0,0.49018,0.0,0.0,0.0,0.0,0.0,0.0,0.49018,0.0,0.0,0.0,0.0,0.0,0.0,0.49018
mp-9124,LiZnAs,1.0,1.0,1.0,3,-43m,216,53.420929779528215,4.22742080,4.22742080,4.22742080,60.00000001,60.00000003,60.00000000,0.422794,0.0,0.0,0.0,0.7323,0.0,0.0,0.0,0.0,0.0,0.0,0.7323,0.0,0.0,0.0,0.0,0.0,0.0,0.7323
mp-4174,HoNiSb,1.0,1.0,1.0,3,-43m,216,63.42329050844341,4.47632134,4.47632134,4.47632135,60.00000001,60.00000003,59.99999996,0.134952,0.0,0.0,0.0,-0.23374333,0.0,0.0,0.0,0.0,0.0,0.0,-0.23374333,0.0,0.0,0.0,0.0,0.0,0.0,-0.23374333
mp-505297,NbSbRu,1.0,1.0,1.0,3,-43m,216,59.643354894567125,4.38556632,4.38556628,4.38556687,59.99999564,59.99999595,59.99999694,0.837337,0.0,0.0,0.0,-1.45031,0.0,0.0,0.0,0.0,0.0,0.0,-1.45031,0.0,0.0,0.0,0.0,0.0,0.0,-1.45031
mp-9437,NbFeSb,1.0,1.0,1.0,3,-43m,216,53.1671135998074,4.22071500,4.22071499,4.22071499,59.99999996,59.99999999,59.99999996,1.338533,0.0,0.0,0.0,-2.31840667,0.0,0.0,0.0,0.0,0.0,0.0,-2.31840667,0.0,0.0,0.0,0.0,0.0,0.0,-2.31840667
mp-7575,LiZnN,1.0,1.0,1.0,3,-43m,216,30.05961719712393,3.49005936,3.49005937,3.49005937,60.00000005,60.00000003,59.99999999,0.293646,0.0,0.0,0.0,-0.50861,0.0,0.0,0.0,0.0,0.0,0.0,-0.50861,0.0,0.0,0.0,0.0,0.0,0.0,-0.50861
mp-3716,TbNiSb,1.0,1.0,1.0,3,-43m,216,64.62263150024994,4.50436124,4.50436124,4.50436123,60.00000000,59.99999999,59.99999996,0.164743,0.0,0.0,0.0,-0.28534333,0.0,0.0,0.0,0.0,0.0,0.0,-0.28534333,0.0,0.0,0.0,0.0,0.0,0.0,-0.28534333
mp-3432,ScNiSb,1.0,1.0,1.0,3,-43m,216,57.045654235046065,4.32094947,4.32094947,4.32094947,59.99999995,59.99999995,59.99999997,0.074347,0.0,0.0,0.0,-0.12877333,0.0,0.0,0.0,0.0,0.0,0.0,-0.12877333,0.0,0.0,0.0,0.0,0.0,0.0,-0.12877333
mp-5967,TiCoSb,1.0,1.0,1.0,3,-43m,216,51.1768253795958,4.16737690,4.16737690,4.16737690,60.00000000,59.99999998,59.99999996,0.651209,0.0,0.0,0.0,-1.12792667,0.0,0.0,0.0,0.0,0.0,0.0,-1.12792667,0.0,0.0,0.0,0.0,0.0,0.0,-1.12792667
